Hugo_Symbol	TARGET-52-NAAELV-50	TARGET-52-NAAELY-50	TARGET-52-NAAELZ-50	TARGET-52-PABKLN-01	TARGET-52-PADYZI-01	TARGET-52-PAJLWM-01	TARGET-52-PAJMRB-01	TARGET-52-PAJNER-01	TARGET-52-PAJNFP-01	TARGET-52-PAJNFZ-01	TARGET-52-PAKHTL-01	TARGET-52-PARECB-01	TARGET-52-PARGRN-01	TARGET-52-PARIRN-01	TARGET-52-PARPFY-01	TARGET-52-PARRCL-01	TARGET-52-PARUGK-01	TARGET-52-PARZBI-01	TARGET-52-PASABD-01	TARGET-52-PASADZ-01	TARGET-52-PASCDH-01	TARGET-52-PASDLA-01	TARGET-52-PASRHU-01	TARGET-52-PASVDP-01	TARGET-52-PASWZZ-01	TARGET-52-PASXNA-01	TARGET-52-PASYNF-01	TARGET-52-PASZYE-01	TARGET-52-PATAFT-01	TARGET-52-PATBLF-01	TARGET-52-PATDVL-01	TARGET-52-PATENH-01	TARGET-52-PATFXW-01	TARGET-52-PATFZZ-01	TARGET-52-PATXEE-01	TARGET-52-PATXKA-01	TARGET-52-PAUCGJ-01	TARGET-52-PAUDPV-01	TARGET-52-PAUEKW-01	TARGET-52-PAUFVP-01	TARGET-52-PAUGYZ-01	TARGET-52-PAUHAZ-01	TARGET-52-PAUNPA-01
hsa-let-7a-1	422.754120	9653.127953	4038.320281	7489.343081	6062.390501	12346.248317	6091.569321	8564.438863	7183.471386	5229.442510	10781.236290	7488.302252	8176.741186	14123.084550	4066.425250	5750.354392	6716.608491	6962.280619	6484.728726	10518.866848	9420.307826	8907.407565	9755.960382	7372.594151	11074.755816	10429.434486	5858.264640	5865.878480	8615.255669	4016.010555	9383.587166	6375.781889	17964.965792	3981.358925	5598.246713	5377.440246	8697.642209	7370.113762	5475.162296	5919.491060	2997.508336	4224.675243	8258.663841
hsa-let-7a-2	840.001513	19498.215895	7952.602958	15123.968075	12111.834316	24883.059089	12075.804659	16966.532457	14426.660050	10517.850222	21601.846977	15117.708482	16218.320857	28243.239982	8126.386200	11459.077897	13370.416103	13879.576059	12846.097316	21162.443397	18892.226064	17852.878728	19537.106034	14815.999397	22255.301936	21008.298854	11724.513889	11630.366297	17284.819887	7977.555305	18927.627367	12748.302509	36121.137430	7953.854074	11311.330835	10741.360539	17375.453048	14811.961794	10916.006520	11859.925067	5967.661220	8411.851817	16421.700904
hsa-let-7a-3	428.576806	9694.053684	4029.658101	7618.094304	6117.518329	12400.912867	6091.170310	8596.775929	7264.661807	5297.637993	10862.836711	7615.859175	8325.482508	14301.342219	4131.543571	5791.456072	6701.362035	6948.668082	6529.807447	10529.920116	9585.863305	9069.020133	9857.830846	7508.420165	11151.551740	10416.708844	5893.649060	5893.221443	8733.558368	4074.933641	9540.369001	6456.929948	18062.998087	4022.769379	5607.944778	5441.056449	8886.040223	7458.279471	5592.545699	5990.255313	3026.177467	4310.074310	8192.027365
hsa-let-7b	17.287511	6972.418334	2886.490976	5527.298082	2607.191258	4105.338283	7523.221115	7707.836591	6358.871378	5840.921438	4788.211810	4538.263388	7150.829217	14867.917065	2571.745893	1855.044076	5911.631903	10494.202070	3051.720682	3643.253361	4521.474288	10240.264367	8215.819015	3024.555528	9123.982630	4813.570316	3767.978395	4596.425994	5819.143712	2643.276593	4288.177538	3634.972626	17879.794877	1033.183900	2311.372244	3794.760850	4142.640962	5485.770986	1298.107046	5079.155338	1784.518175	2543.790841	5444.955797
hsa-let-7c	185.829459	16819.040372	16747.663061	14873.723004	36136.499842	19304.221050	15484.822416	31157.752746	12703.322836	7088.312391	17353.470211	14656.572099	23996.155217	22035.883910	4440.784298	9454.444873	19887.368620	6827.856822	6455.373195	23067.930744	2567.651532	12631.646685	14589.838116	11308.964726	40981.282639	44821.637601	20421.516685	9911.159018	1628.218722	2192.656314	2401.180744	14400.039596	28875.988766	15502.190391	9673.589289	2029.924241	10980.365093	31400.603647	1510.125131	13791.911867	360.334658	10317.553415	2033.717782
hsa-let-7d	6.003235	889.577924	1434.493077	669.828911	685.339130	1905.319166	1063.364557	776.617530	998.266005	415.362618	1239.361235	553.149053	1714.874981	763.662551	318.556925	331.812277	828.390789	772.405092	266.290626	457.989771	295.855014	1180.181820	949.134564	238.690651	761.846907	1555.998896	472.688775	962.324501	293.854218	211.992653	378.025622	420.128248	562.185200	186.277794	369.911922	278.124730	339.909680	711.947300	131.422614	394.070986	293.027884	300.076763	2015.993854
hsa-let-7e	131.168425	1643.215118	1702.419112	1675.647445	2358.907216	3911.111165	2007.823809	2497.477379	2676.932814	1564.912598	1569.930684	2264.906623	5454.202101	1832.790122	1557.040845	2971.139917	1403.399996	1094.745699	1699.693590	3980.378046	2853.452569	4000.673368	3435.812912	2298.776728	3188.598094	2749.317009	1624.153253	2032.099456	2236.163146	1031.371434	2865.803496	2346.963010	3554.123211	1550.329836	1746.267515	1681.423332	2397.348202	2519.160407	684.411536	2026.720909	1204.644430	1631.323224	1436.050416
hsa-let-7f-1	0.496508	18.409156	27.731006	19.890586	23.178746	46.724448	26.467736	20.194168	14.263182	15.745772	43.432482	16.229640	37.344469	28.035831	12.358221	7.761691	34.304527	15.845843	13.130537	11.053268	12.869090	21.239908	21.458302	14.315852	17.710080	39.526614	17.229943	28.377562	18.765852	8.044849	6.910494	19.567617	22.959945	9.002273	9.390190	9.415681	14.014168	14.592099	4.549744	9.326156	5.563821	7.604625	39.432307
hsa-let-7f-2	110.315083	10504.551416	6705.670137	10479.516325	13537.953630	44379.980315	8444.803732	13233.911155	11272.615960	4939.828888	21918.048609	13313.669984	14483.712719	16712.144689	4268.719830	3428.374060	13566.441969	7747.766507	5164.900721	10169.968030	5655.160673	12121.152856	13616.308851	6384.660669	14466.471292	27544.072656	11626.093093	11311.118728	6981.329361	3296.866249	6647.895317	8757.467828	16044.428350	5025.899538	6074.837353	4946.491772	7157.538023	10998.886831	1619.318994	4497.824960	2888.086531	3287.558151	14044.083945
hsa-let-7g	5.687275	600.573970	672.762636	671.979245	972.880868	1184.602187	739.766563	771.601985	760.180581	472.590357	812.384838	755.013584	1038.218669	919.882104	441.853950	366.739885	1110.087219	620.752929	454.968909	514.697843	409.666027	752.965254	1144.405109	435.551080	744.136827	1295.316058	580.186810	811.420904	323.429893	281.678443	520.554563	543.289132	801.025786	325.328282	399.006118	327.013842	402.444600	660.200527	120.113250	380.163561	229.430324	403.831822	812.965013
hsa-let-7i	11.690510	393.075069	815.387833	662.437140	441.335847	579.627469	613.812062	593.154177	423.350052	548.821614	609.480565	410.837912	908.786135	596.144976	468.376595	314.877679	1397.228811	417.096623	340.055806	400.801122	614.633094	726.888535	941.002997	334.222778	432.094615	878.647704	357.206134	675.592888	326.024250	361.692080	239.059905	455.426695	322.677728	207.052270	463.505949	371.195114	286.100563	369.339522	130.382672	193.640445	197.902007	275.602107	547.655660
hsa-mir-1-1	0.000000	0.098974	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.557927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.112938	0.069833	0.000000	0.000000	0.000000	0.000000	0.000000	0.217428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.087409	0.000000
hsa-mir-1-2	3.565831	4.701263	0.240616	1.478354	3.027854	1.526943	0.665018	11.350970	1.253906	9.773238	1.645170	0.402388	1.060922	250.648695	8.270502	57.330670	1.815054	0.425392	1.923582	2.643173	9.919923	0.841184	4.969291	159.080545	4.701791	2.892191	4.286474	0.443399	17.987545	126.869449	2.483459	6.522539	1.619581	9.140769	1.539375	38.387007	4.230692	0.490491	9.619459	2.781485	1.236405	7.254987	19.510061
hsa-mir-100	49.605678	62427.377859	92.155969	20902.989582	40312.119561	4592.433021	5938.748073	14013.036457	11952.546550	14026.877056	21221.703080	10501.381867	10804.009438	25711.506839	14130.865770	17748.340586	6690.471709	43601.166722	8477.977623	27261.684927	21537.628347	17313.469183	31524.955666	22884.832808	21076.562871	22519.758005	8669.182743	7981.484823	3616.188341	12606.496412	49992.133914	14421.909285	3765.145108	8264.917216	28008.782445	10549.063363	21406.377293	31911.204501	5413.545759	29643.022571	11074.398481	21841.532547	22524.915172
hsa-mir-101-1	7568.679941	6959.254797	8353.890471	11496.355319	9181.393523	4717.336939	9770.052568	10767.714938	14954.084309	8837.722006	8976.375362	6179.468969	9582.675561	14563.986344	9639.507827	10889.475641	11480.581551	18017.999814	12676.654851	6718.464845	14395.283479	20130.175401	27652.974538	20881.172140	7457.981267	9549.629906	7098.904579	11032.516104	16292.737607	12315.359835	16230.267165	10802.475649	23093.036077	13114.233715	7900.382704	11318.252068	8867.002108	7850.181567	40282.656115	5731.822627	9239.033169	12865.365093	12091.841277
hsa-mir-101-2	49.109170	21.180427	66.951432	38.437213	73.399361	42.754397	26.467736	41.708215	31.817868	27.365067	42.884092	51.773893	31.403303	75.180660	45.250103	25.578299	65.341955	47.431181	47.755009	38.446151	45.443974	44.372481	75.894625	70.392094	29.621285	50.709753	52.026023	45.374539	51.454756	55.335518	38.331647	47.192488	87.933730	68.555768	27.708758	27.764187	49.578425	27.957972	97.364528	11.698599	27.278176	37.411260	24.868458
hsa-mir-103a-1	55899.369895	18702.564257	40071.063561	40938.050771	30054.376085	68455.897465	33162.609788	32654.628919	28497.524241	35830.862604	42688.865491	36945.501271	43098.487549	35843.181791	42278.521421	45086.602828	55400.358328	28717.347061	42922.887537	81368.875198	54067.470225	28243.925413	29443.726282	43577.664198	73853.385924	47264.189524	40185.690037	46106.591147	46614.117092	37696.750925	62986.238291	47829.203095	22990.240309	72921.731888	42618.533064	30569.939618	46394.432197	40305.708159	105345.429587	21992.138869	34984.531033	25313.437303	32545.529888
hsa-mir-103a-2	53.758291	10.243805	75.012071	19.890586	16.078950	26.263415	20.748577	25.077724	23.824216	28.668165	12.503290	19.046354	40.315052	18.969517	26.712771	31.752371	51.729048	14.250624	27.766485	61.994418	26.676551	24.078906	34.559160	28.561871	42.472848	34.706295	25.298599	27.638563	19.803595	29.896400	29.261623	34.531089	14.480961	31.300209	33.250510	15.692802	34.638793	36.173692	55.506881	29.696443	18.932445	25.873208	40.531465
hsa-mir-103b-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-103b-2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095269	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-105-1	0.045137	0.148461	0.120308	0.000000	0.104409	0.000000	0.000000	0.527952	0.156738	0.108592	0.000000	0.402388	0.000000	0.278963	0.000000	0.352804	0.000000	0.000000	0.000000	0.240288	0.536212	0.105148	0.112938	0.000000	0.626905	0.000000	0.000000	0.295600	0.000000	0.000000	0.000000	0.000000	0.190539	0.138497	0.000000	0.000000	0.264418	0.245245	5.069715	0.081808	0.463652	0.174819	0.824369
hsa-mir-105-2	0.225686	0.296922	0.180462	0.000000	0.313226	0.000000	0.133004	0.263976	0.000000	0.000000	0.000000	0.134129	0.000000	0.418445	0.000000	0.882010	0.181505	0.212696	0.000000	0.961154	0.536212	0.000000	0.338815	0.000000	0.313453	0.000000	0.000000	0.295600	0.000000	0.000000	0.107976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122623	5.199708	0.000000	0.772753	0.174819	0.824369
hsa-mir-106a	2388.068783	45.528020	2137.272572	22.444107	400.825247	11.604765	29.127810	28.773389	22.570310	124.445898	15.793630	42.921362	34.798255	31.941319	32.891882	76.734897	34.486032	9.358619	48.507715	27.152594	288.884257	20.609020	31.171007	371.234494	62.220371	25.065658	8.236753	41.236144	19.717116	70.555503	29.693529	53.139509	13.623536	31.438706	34.482010	233.339888	12.692077	23.543555	1208.412087	14.071042	24.650816	69.577950	30.226855
hsa-mir-106b	1219.965658	2255.319553	1769.129928	1102.583545	1907.234901	1824.391200	1409.573180	1015.383864	1049.832893	720.070463	2163.178907	794.447585	1586.715554	1044.857747	1412.924970	1361.118304	1234.418439	1267.773798	1235.943112	1980.217053	1252.859518	951.589939	2107.205223	1471.809293	1195.038607	2607.599637	844.351251	818.515295	1986.153568	1110.515357	1253.066937	1095.402876	782.162429	1483.851516	1032.920930	992.388629	1146.120971	1202.928524	2187.777047	402.497250	1199.389711	880.912793	2563.374724
hsa-mir-107	216.974061	104.318550	152.550612	151.867309	116.520181	187.203181	142.579963	117.205365	123.979967	134.436319	214.639817	118.704392	137.919913	127.486314	209.139133	133.712762	184.409518	137.507887	148.617601	328.234012	196.253620	130.068150	168.730014	152.586037	234.462657	257.597835	121.786279	169.526371	168.979147	133.066157	255.688281	155.965418	137.283320	156.224054	154.707233	128.198118	173.326173	153.523600	313.802364	62.092564	162.896302	112.583417	170.919127
hsa-mir-10a	63179.217505	1447.296170	9741.583715	17156.705291	12658.623015	7826.497771	17247.387408	69798.434490	207307.670786	13129.368027	12063.042906	46556.399005	23804.764815	91860.863612	43837.178340	23134.953927	23461.392070	60408.714278	103694.105000	2915.419670	14882.029992	230261.317112	74970.675537	25349.533757	7463.780143	49061.011546	14849.605291	16857.601839	58286.044683	30277.769081	26087.223177	11115.749361	93314.454733	30332.811248	16185.917147	17701.480181	54966.607939	61585.526011	2673.689739	41820.445977	136140.893865	50749.947161	6725.750093
hsa-mir-10b	105724.729924	129318.580143	47343.926016	34293.788788	168866.037291	38355.580380	61070.376512	72428.823809	62978.845193	39665.229675	65091.910152	383321.161103	51331.457623	18379.788426	29076.423527	165869.976157	68130.060258	131888.993594	33146.492211	10934.325564	116196.084713	52539.751487	80166.520938	59118.185392	87912.211915	101057.982843	303691.864071	110716.091511	814.974147	97034.037975	36278.150411	44930.510020	205601.350007	264208.252203	29023.076931	28267.564198	200760.757791	170475.327212	19647.615804	277280.846383	260461.141813	192416.248165	56456.208981
hsa-mir-1178	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.077275	0.000000	0.274790
hsa-mir-1179	2.301992	0.296922	0.240616	0.268792	1.044088	0.916166	1.330037	1.319880	0.470215	0.542958	32.464684	0.804776	0.848738	6.834605	4.277846	1.058412	0.726022	0.000000	0.836340	0.961154	0.000000	1.366925	0.564692	0.698334	1.097085	0.578438	0.420243	1.182398	5.015758	1.521999	0.755835	0.959197	0.000000	0.415490	1.847251	10.864247	0.528837	0.735736	0.649963	0.245425	0.309101	0.699276	0.961764
hsa-mir-1180	215.033165	157.071669	166.927424	54.833506	33.619622	68.407035	54.265508	66.521964	65.203118	67.543934	60.103536	44.665042	220.035307	90.523652	82.705021	145.884505	48.461950	63.915112	53.776656	366.920451	99.601393	71.921273	45.175372	36.383215	120.522582	85.223236	37.905874	200.564329	89.851246	106.431183	98.042635	64.074354	27.437610	105.949824	78.508148	61.926209	109.865789	104.842394	204.738494	31.414420	95.048602	70.889093	99.199043
hsa-mir-1181	0.135411	0.098974	0.060154	0.403188	0.522044	0.305389	0.798022	0.395964	0.626953	0.108592	0.438712	0.402388	1.060922	0.139482	0.475316	0.176402	0.726022	0.850784	0.501804	2.162596	0.536212	0.525740	1.355261	0.698334	0.626905	0.385626	0.504291	0.591199	0.259436	0.217428	0.431906	0.191839	0.381078	0.415490	0.923625	0.120714	0.925464	0.122623	0.779956	0.490850	0.927303	0.437047	0.274790
hsa-mir-1182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.108592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1184-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1184-2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1184-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1185-1	0.000000	2.672297	1.142927	0.268792	2.296993	0.916166	3.325092	3.959641	3.291504	4.343661	4.716153	2.280197	30.766750	0.278963	2.186455	8.114495	10.527315	2.126959	1.421778	4.565480	2.949166	19.557539	7.566875	5.935841	1.880716	1.349689	5.715298	7.389990	4.496886	4.239853	22.891012	8.440933	1.714851	2.354441	2.616938	2.776419	1.057673	4.291794	6.499635	4.744886	7.418427	3.583789	0.686974
hsa-mir-1185-2	0.000000	1.138201	0.240616	0.000000	1.148496	0.610777	2.394067	2.507772	0.940430	2.714788	1.425814	0.670646	10.609224	0.000000	1.045696	3.175237	3.811614	1.595219	0.501804	2.162596	0.804318	8.516993	4.291660	2.444170	1.723990	0.964064	1.260728	3.694995	2.507879	2.282998	9.825859	4.028627	0.857425	0.415490	0.769688	1.569280	0.000000	1.961963	3.249817	2.536060	2.781910	1.835599	0.137395
hsa-mir-1193	0.000000	0.247435	0.000000	0.000000	0.104409	0.000000	0.000000	0.131988	0.000000	0.325775	0.219356	0.134129	1.697476	0.000000	0.190126	0.529206	0.363011	0.106348	0.000000	0.240288	0.402159	0.736036	0.677631	0.069833	0.626905	0.000000	0.168097	0.443399	0.000000	0.217428	1.187741	0.000000	0.095269	0.000000	0.000000	0.120714	0.132209	0.367868	0.259985	0.409042	0.463652	0.786685	0.000000
hsa-mir-1197	0.180548	7.917917	1.624159	0.000000	2.610219	1.221554	6.384177	3.299701	1.410644	3.909295	2.193560	1.207163	80.630103	0.139482	3.042024	8.820103	4.900647	1.807915	0.752706	6.487788	6.166439	13.248655	8.583321	3.631338	4.388338	1.542502	3.782183	9.015788	6.053501	7.827421	30.773294	7.289897	1.143234	4.293392	4.156314	6.156407	0.528837	5.885889	17.159036	5.890204	12.518596	6.555711	0.274790
hsa-mir-1200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095063	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.095063	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137395
hsa-mir-1205	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1206	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-1208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
hsa-mir-122	0.000000	0.049487	0.060154	0.806375	0.000000	0.610777	0.665018	0.000000	0.000000	0.108592	0.987102	0.000000	0.000000	0.000000	0.000000	0.176402	0.000000	0.000000	0.000000	0.000000	0.000000	0.105148	0.225877	0.000000	0.000000	0.192813	0.084049	0.000000	831.318599	0.000000	0.107976	0.383679	0.000000	0.000000	0.000000	592.222189	0.132209	0.000000	4.029774	0.000000	0.000000	0.174819	0.000000
hsa-mir-1224	0.180548	0.989740	0.120308	0.000000	0.522044	0.000000	0.532015	0.395964	0.313477	0.217183	0.109678	0.000000	0.636553	0.697409	0.760506	0.705608	0.181505	0.531740	0.334536	0.480577	0.134053	1.261777	0.225877	0.209500	0.313453	0.578438	0.420243	0.147800	0.259436	1.304570	0.539882	0.575518	0.000000	0.692483	0.307875	0.603569	0.396627	0.735736	0.519971	0.899892	1.081854	1.223733	0.000000
hsa-mir-1225	0.000000	0.049487	0.000000	0.000000	0.000000	0.305389	0.133004	0.000000	0.156738	0.217183	0.000000	0.000000	0.000000	0.278963	0.475316	0.000000	0.000000	0.212696	0.083634	0.000000	0.268106	0.315444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.383679	0.000000	0.692483	0.000000	0.000000	0.264418	0.122623	0.000000	0.000000	0.309101	0.087409	0.412184
hsa-mir-1226	3.024186	2.375375	3.729550	4.838251	0.939679	3.053886	5.320148	1.451868	2.037597	6.298309	0.987102	1.609551	12.518884	2.371190	8.555692	5.115660	2.904087	1.701567	3.596262	7.208653	8.043181	6.203736	4.743414	2.095003	5.171970	4.241881	1.176679	8.424589	4.410408	4.239853	7.450376	3.261270	0.476347	5.262867	5.387814	7.242831	4.230692	2.697699	10.789394	1.881593	4.327416	4.894931	3.984449
hsa-mir-1227	0.361097	0.296922	0.300770	0.403188	0.000000	0.000000	0.133004	0.395964	0.000000	0.217183	0.000000	0.000000	1.060922	0.000000	1.330885	0.176402	0.363011	0.106348	0.250902	0.480577	0.268106	0.000000	0.000000	0.209500	0.000000	0.000000	0.000000	0.295600	0.518871	0.760999	0.107976	0.959197	0.285808	0.415490	0.153938	1.086425	0.132209	0.000000	0.909949	0.327234	0.540927	0.262228	0.274790
hsa-mir-1228	5.822686	1.039227	1.443697	2.687917	0.417635	0.000000	2.926081	1.187892	0.470215	3.366338	0.219356	0.536517	2.970583	0.836890	1.996328	5.821268	4.900647	0.638088	2.759922	2.643173	1.474583	0.525740	1.468200	2.304503	1.097085	0.578438	0.252146	3.251596	1.470136	4.022425	1.295718	2.493912	0.000000	0.415490	2.463001	1.931422	1.586510	1.103604	1.559912	0.736275	1.236405	0.874095	2.610501
hsa-mir-1229	1.895758	0.197948	0.782002	0.537583	0.104409	0.305389	0.532015	0.263976	0.156738	2.063239	0.658068	0.268259	2.546214	0.557927	0.950632	0.176402	0.000000	0.319044	0.250902	0.720865	1.206477	0.210296	0.000000	0.349167	0.783632	0.000000	0.000000	0.000000	0.778307	0.869713	0.431906	0.575518	0.000000	0.276993	1.693313	3.621416	0.264418	0.367868	1.429920	0.163617	0.077275	0.349638	0.412184
hsa-mir-1231	0.090274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.109678	0.000000	0.000000	0.000000	0.095063	0.000000	0.000000	0.000000	0.083634	0.240288	0.134053	0.000000	0.000000	0.000000	0.000000	0.000000	0.084049	0.000000	0.000000	0.543571	0.107976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122623	0.129993	0.081808	0.000000	0.000000	0.000000
